選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
渡邉 諒,阪,0.25159708,2,10,0.31442836,0.35022336,0.6638585
小幡 竜平,阪,0.23830065,1,10,0.30139047,0.3245156,0.6257233
原口 文仁,阪,0.2362624,2,8,0.33232158,0.35073087,0.67875594
ノイジー,阪,0.23803933,1,10,0.28809246,0.30773845,0.5964915
坂本 誠志郎,阪,0.22191057,0,12,0.27056533,0.2527728,0.52297926
糸原 健斗,阪,0.21756259,0,8,0.3184706,0.25083104,0.5795441
木浪 聖也,阪,0.21197659,0,23,0.28183216,0.25634703,0.5364261
井上 広大,阪,0.22092776,3,7,0.25562486,0.3975074,0.66202444
梅野 隆太郎,阪,0.21579115,0,20,0.28138918,0.24945505,0.5349261
野口 恭佑,阪,0.19229718,0,4,0.26875913,0.20547655,0.47014815
大竹 耕太郎,阪,0.17652011,0,2,0.17933963,0.18844843,0.36937457
才木 浩人,阪,0.07588969,0,1,0.17869075,0.09745978,0.2747092
秋山 翔吾,広,0.280595,3,37,0.33440182,0.33475333,0.67351663
小園 海斗,広,0.2628744,3,28,0.30719072,0.32513875,0.63610387
坂倉 将吾,広,0.27921844,10,43,0.32846373,0.39650923,0.7241226
野間 峻祥,広,0.27994114,1,27,0.3348324,0.3362377,0.67386574
矢野 雅哉,広,0.25604367,2,29,0.32189178,0.32043338,0.63980156
菊池 涼介,広,0.23677216,9,46,0.26974404,0.3331626,0.60189444
宇草 孔基,広,0.23878083,3,7,0.31364638,0.3799515,0.6855144
末包 昇大,広,0.22943783,8,35,0.287629,0.36384746,0.65551364
堂林 翔太,広,0.23315312,1,17,0.28649706,0.2994035,0.58739537
石原 貴規,広,0.23641191,3,12,0.28928503,0.35904342,0.6480179
上本 崇司,広,0.19867238,0,6,0.2541893,0.21635902,0.46419057
田村 俊介,広,0.19715853,0,7,0.22509408,0.26645917,0.48916033
二俣 翔一,広,0.19960284,1,7,0.26238942,0.27295458,0.53731006
會澤 翼,広,0.18741804,0,12,0.23067626,0.24409737,0.46979094
林 晃汰,広,0.18409233,0,3,0.25164837,0.2095534,0.46615958
