選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
頓宮 裕真,オ,0.20877749,6,26,0.28594357,0.32444158,0.62137514
廣岡 大志,オ,0.19529916,0,7,0.26069456,0.2473784,0.5049654
渡部 遼人,オ,0.18244521,0,4,0.2559264,0.21548255,0.4718616
ゴンザレス,オ,0.13277036,1,4,0.17293349,0.18786554,0.3669462
近藤 健介,ソ,0.3190285,25,72,0.42901608,0.5513992,0.99358976
栗原 陵矢,ソ,0.27460608,20,79,0.3371958,0.4647214,0.8057715
周東 佑京,ソ,0.26746318,2,27,0.32251364,0.3421251,0.66334116
今宮 健太,ソ,0.2647148,7,44,0.33004072,0.3750888,0.7050505
山川 穂高,ソ,0.24949472,31,92,0.32570025,0.46470764,0.79192364
三森 大貴,ソ,0.2822263,1,7,0.33001685,0.36872372,0.7016092
柳田 悠岐,ソ,0.28735647,4,25,0.39612868,0.40314054,0.79621667
牧原 大成,ソ,0.27564716,3,20,0.3180009,0.36370277,0.68387645
正木 智也,ソ,0.26769117,7,29,0.314395,0.41344285,0.72931767
柳町 達,ソ,0.2647467,5,23,0.31645742,0.40195107,0.72551715
川村 友斗,ソ,0.27082822,2,11,0.33662698,0.37156928,0.71921706
川瀬 晃,ソ,0.25821444,0,18,0.29658574,0.29570702,0.6031335
甲斐 拓也,ソ,0.25717905,6,36,0.31864434,0.35957903,0.68418515
廣瀨 隆太,ソ,0.2310066,2,10,0.2744066,0.3411739,0.61371017
中村 晃,ソ,0.22251251,0,11,0.29442766,0.25336194,0.5492774
佐藤 直樹,ソ,0.19003984,0,6,0.2503894,0.24417186,0.49449334
海野 隆司,ソ,0.17562905,2,10,0.22554545,0.27662998,0.5012084
緒方 理貢,ソ,0.17710625,0,4,0.26734746,0.2339823,0.50383365
ウォーカー,ソ,0.16090526,1,5,0.18897714,0.25153574,0.4320753
